month,mean_intensity,sd_intensity,month_label
1,0.0686860717376851,0.0944141864387403,Jan
2,0.0748400777622322,0.061305095690015,Feb
3,0.0785552211156873,0.0633065674195787,Mar
4,0.0984603973598864,0.0934822953793795,Apr
5,0.0995859125073277,0.0742080660568191,May
6,0.10737740657746,0.0695440963629611,Jun
7,0.125905963196279,0.0891661056120477,Jul
8,0.142117660451572,0.0986564918373376,Aug
9,0.112227072192856,0.0892294455274848,Sep
10,0.0943400600097314,0.0951568799344829,Oct
11,0.0901127778987511,0.0843161119779023,Nov
12,0.0757951764398459,0.0776280681191171,Dec
